reviewcontent,reviewtype,topcritic,rottentomatoeslink,movietitle,movieinfo,genres,productioncompany
John Goodman brings his A-game to the part of the tightrope-walking Howard who is at times kind and gentle and at others unhinged and cuckoo. Mary Elizabeth Winstead matches him note for note.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
A sensationally effective semi-sequel that bears virtually no narrative or stylistic resemblance to its predecessor ...,Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"Among all possible disappointments at the end, it shows that you can still renew genres from Hollywood productions, and humble budgets can surprise the audience accustomed to winning formulas that repeat the rhythm of the trends. [Full review in Spanish]",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"At one point, this movie had me so on edge that I had a fleeting impulse to run out of the theater. It might be weird to say that and mean it as a compliment, but good thrillers work that way sometimes.",Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"It may not leave you screaming for a sequel, but it won't leave you screaming for your money back either.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"There's a fine, nerve-jangling little psychological thriller here. Pity it couldn't have been allowed to just be that.",Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"I was on the edge of my seat and then I was on the very edge of my seat, and then I fell off my seat and discovered a ledge beyond the edge and I was on the edge of that.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
It's a pity that such an unexpectedly effective thriller is so profoundly undone by a tonally disparate denouement.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
10 Cloverfield Lane is an intense ride that constantly throws you for a loop the minute you start to feel like you know what is going on.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"After years spent quietly establishing himself as one of film and TV's go-to character actors, it's fantastic to see [Goodman] receive a big-screen role that truly capitalizes on his outsized talents.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
